distance_km,days_since_last_donation,is_first_time_donor,age,past_donations,response_rate,avg_response_time_min,is_available_now,label
2.82,853.0,0,38,1,0.687,0.5,0,0
1.43,120.0,0,26,3,0.496,38.4,1,0
5.39,-1.0,1,20,3,0.515,3.3,1,1
14.4,193.0,0,19,4,0.641,2.3,1,1
2.36,317.0,0,39,3,0.532,42.2,0,1
8.85,-1.0,1,23,3,0.26,54.6,1,0
7.49,672.0,0,46,3,0.546,17.8,0,0
3.17,667.0,0,23,7,0.458,6.5,1,0
11.83,-1.0,1,18,1,0.595,30.4,1,1
19.69,186.0,0,18,1,0.632,59.7,1,0
4.03,886.0,0,39,3,0.185,45.1,1,1
0.25,510.0,0,18,3,0.591,64.7,0,0
6.47,725.0,0,45,1,0.412,32.4,0,0
0.53,101.0,0,35,2,0.696,19.9,1,0
1.62,257.0,0,38,5,0.345,12.5,0,0
5.16,416.0,0,37,2,0.535,76.9,0,1
19.88,759.0,0,39,3,0.79,21.1,1,0
8.1,611.0,0,20,4,0.429,10.3,1,1
5.18,-1.0,1,55,2,0.17,18.5,0,0
5.85,-1.0,1,32,5,0.453,0.6,0,0
7.14,336.0,0,28,4,0.369,13.6,1,1
8.51,-1.0,1,29,1,0.8,23.9,1,1
2.82,543.0,0,43,2,0.489,21.4,1,0
3.68,466.0,0,30,3,0.696,46.6,1,0
1.99,-1.0,1,41,4,0.943,10.4,0,1
3.36,662.0,0,27,5,0.489,21.3,1,1
2.08,260.0,0,43,3,0.361,3.1,1,1
0.53,615.0,0,45,2,0.764,35.0,1,1
0.71,416.0,0,47,0,0.367,26.2,0,0
2.02,774.0,0,32,2,0.349,20.2,0,0
3.64,545.0,0,36,2,0.318,5.2,1,1
21.99,886.0,0,18,5,0.082,1.2,1,1
0.98,513.0,0,27,6,0.492,47.4,1,1
5.59,164.0,0,30,3,0.251,47.8,1,1
0.86,-1.0,1,33,4,0.061,10.7,1,1
11.9,851.0,0,45,3,0.577,25.1,1,1
2.54,801.0,0,22,3,0.44,15.4,1,0
0.24,708.0,0,18,2,0.754,5.9,1,1
3.73,659.0,0,28,0,0.815,19.0,1,1
1.88,306.0,0,18,0,0.4,55.3,1,0
0.55,458.0,0,38,3,0.636,11.0,0,0
1.0,181.0,0,37,1,0.434,18.6,1,0
10.19,192.0,0,31,4,0.787,13.9,1,1
2.04,500.0,0,28,2,0.554,115.0,1,0
8.57,514.0,0,39,6,0.515,33.8,1,0
1.35,103.0,0,33,3,0.705,14.5,1,0
4.19,168.0,0,28,5,0.429,39.5,1,0
0.99,244.0,0,32,2,0.666,43.0,1,1
1.56,635.0,0,27,4,0.37,12.8,1,1
0.11,778.0,0,58,5,0.573,68.1,0,1
10.95,-1.0,1,30,5,0.772,12.7,1,1
8.03,377.0,0,38,2,0.776,11.3,1,0
0.97,342.0,0,37,2,0.334,57.1,1,1
8.96,379.0,0,20,4,0.604,7.9,1,1
7.55,574.0,0,31,0,0.506,2.7,0,0
0.63,178.0,0,21,5,0.663,5.8,1,1
13.39,726.0,0,19,2,0.122,20.1,1,1
0.91,774.0,0,31,4,0.878,3.8,0,1
1.91,-1.0,1,35,3,0.677,0.3,1,1
1.16,818.0,0,47,3,0.731,7.0,1,0
2.12,486.0,0,18,4,0.36,10.2,0,0
3.42,181.0,0,49,5,0.256,32.9,0,1
1.72,413.0,0,42,3,0.54,61.8,1,1
21.25,846.0,0,42,5,0.152,29.8,1,0
4.65,700.0,0,33,4,0.616,10.8,0,0
12.41,884.0,0,18,4,0.612,6.7,1,0
1.48,852.0,0,19,2,0.877,6.6,0,1
1.57,115.0,0,48,1,0.207,53.8,0,1
1.0,724.0,0,26,2,0.466,7.7,1,1
4.8,-1.0,1,35,2,0.237,28.7,1,0
5.38,732.0,0,43,3,0.488,50.5,0,0
5.78,664.0,0,40,3,0.439,4.4,0,0
2.03,534.0,0,44,5,0.629,10.5,1,1
2.15,621.0,0,36,1,0.909,90.8,0,0
0.15,-1.0,1,35,4,0.381,28.5,1,1
18.08,91.0,0,38,3,0.331,6.0,1,1
2.76,770.0,0,37,6,0.297,3.1,1,0
3.38,138.0,0,24,3,0.589,8.6,1,1
9.08,-1.0,1,22,2,0.265,0.2,1,1
0.55,281.0,0,21,4,0.24,68.8,1,0
7.41,777.0,0,40,2,0.396,25.8,1,0
0.51,-1.0,1,25,4,0.406,31.8,1,0
22.08,566.0,0,38,1,0.159,33.9,1,0
2.78,888.0,0,18,5,0.57,3.5,0,1
1.19,173.0,0,31,3,0.865,87.2,1,1
2.36,684.0,0,18,1,0.288,7.1,1,1
1.1,106.0,0,28,5,0.777,1.0,1,1
16.3,248.0,0,26,3,0.348,18.1,1,0
0.9,-1.0,1,43,3,0.158,29.5,0,1
6.9,420.0,0,41,1,0.372,26.9,1,0
0.68,573.0,0,31,6,0.454,14.3,0,0
4.72,-1.0,1,21,3,0.456,23.1,1,1
3.74,308.0,0,32,1,0.891,19.1,1,0
10.06,631.0,0,39,2,0.703,7.4,1,1
9.75,460.0,0,41,3,0.333,30.9,1,0
1.78,864.0,0,45,1,0.462,53.9,1,1
5.66,338.0,0,19,5,0.124,33.4,0,0
0.6,-1.0,1,44,2,0.693,29.7,1,1
7.59,606.0,0,35,2,0.636,1.8,1,1
9.67,169.0,0,42,3,0.27,1.6,1,0
1.16,604.0,0,33,1,0.096,65.5,1,0
0.99,892.0,0,32,3,0.61,30.8,1,1
1.83,290.0,0,18,5,0.665,3.1,0,0
12.62,774.0,0,37,1,0.511,92.8,1,1
0.85,768.0,0,31,3,0.706,0.7,1,0
4.78,867.0,0,18,2,0.281,4.1,1,1
3.69,-1.0,1,26,1,0.495,142.8,0,0
2.19,541.0,0,18,3,0.459,36.7,1,0
3.94,-1.0,1,40,2,0.55,15.1,0,0
4.02,90.0,0,43,3,0.453,14.4,1,0
0.24,806.0,0,53,4,0.3,28.5,1,0
7.56,-1.0,1,18,3,0.254,7.7,1,0
20.63,228.0,0,38,2,0.602,1.1,0,1
2.08,880.0,0,46,4,0.838,14.5,1,0
1.65,-1.0,1,34,6,0.279,37.5,1,0
